ID,WingatePeak_Watts,PeakWingate_W_kg,WingateMean_Watts,WingateMean_Watts_kg,WingateRPM,WingateHR_End,WingateHR_1minPost,WingatePercentDrop,VO2max_l_min,VO2max_ml_kg_min,VO2max_PeakHR,VO2max_Duration,VO2max_watts,DaysSinceLastGame,DaysSinceLastWorkout,Age,Height_in,WingSpan_in,Weight_lb, Skinfold_sum_6_mm,Yuhasz%BodyFat,HandEyeCoordination,StandingLongJump_in,VertekVerticalJump_Pause_in,LewisAvg_ Pause_watts,SayersPeak_Pause_watts,VertekVerticalJump_NoPause_in,LewisAvg_ NoPause_watts,SayersPeak_NoPause_watts,Jump4ModeGroundTime_sec,Jump4ModeGroundPowerFactor,Jump4ModeGroundHeight_in,Curlups_max,SitReach,RightHandGrip_lb,LeftHandGrip_lb,BenchPress_reps150,BenchPress_lbperlbBodyWeight,PushUps_max,PushUpsxBody Weight,Push Strength (lb),PushStrength_lbperlbBodyWeight,PullStrength_lb,PullStrength_lbperlbBodyWeight,UpperBodyPowerkgBall_in
11,1042,13.9,807,10.7,126,193,156,47.8,4.45,59.1,193,10:00,480,42,1,17,72.75,75.5,165.9,39,7.4,25,106.5,24,1273,5063,24.5,1285,5136,0.61,1.13,23,18,36,109,105,0,0,25,4148,212,1.28,236,1.42,204
12,1274,14,969,10.7,125,187,157,42,5.42,59.7,187,13:00,600,44,4,18,74.5,81,200,41.4,7.7,29.5,109.5,25.5,1168,5996,27,1200,6227,0.49,1.38,22.4,37,52,144,126,6,4.5,30,6000,260,1.3,276,1.38,217
13,1234,14.6,898,10.6,124,197,180,54.1,4.96,58.6,197,8:10,400,60,4,18,68.75,72,186.3,53.4,8.8,27.8,105,24.5,1443,5558,26,1489,5788,0.44,1.54,22,41,45,139,119,9,7.3,24,4471,275,1.48,276,1.48,197
14,1116,13.1,885,10.4,121,194,171,42.3,3.83,44.9,194,8:10,400,60,2,18,71.25,74.75,187.4,56.6,9.1,31.9,104.5,29.5,1594,6351,30,1607,6430,0.51,1.31,22,28,53,123,118,13,10.4,40,7496,268,1.43,245,1.31,248
15,975,12.7,839,10.9,128,190,165,33.7,4.44,57.6,185,7:00,480,42,1,17,70,73.25,169.4,50.7,8.6,28.7,94.5,18.8,1148,4322,19.8,1177,4480,0.74,0.82,17.6,38,37,109,118,4,3.5,28,4743,191,1.13,210,1.24,199
16,1099,12.3,858,9.6,115,186,164,46.8,4.64,52,186,10:00,480,42,4,18,75.25,76.5,196.7,68.6,10.3,33.2,97,23.8,1501,5667,24.8,1535,5819,1.04,0.6,19.1,38,32,124,119,3,2.3,14,2754,176,0.89,201,1.02,183
17,1090,12.7,818,9.5,112,189,162,57.3,4.87,56.4,190,12:00,560,5,5,18,71.75,72.5,189.9,71.2,10.6,33.7,104.5,22.5,1412,5204,24.5,1471,5508,0.55,1.11,18.3,19,28,132,119, , , , ,162,0.85,221,1.16, 
18,1074,13.1,854,10.4,125,194,180,50.9,5.39,65.6,194,10:00,480,28,7,18,72,75,180.6,50.2,8.5,36,105,27,1469,5828,27.5,1482,5908,0.29,2.22,19.9,28,47,123,114,5,4.2,26,4696,264,1.46,258,1.43,189
19,1151,13.4,857,10,116,193,181,56.7,4.32,50,193,9:00,400,60,2,17,76.5,79.24,189.9,53.8,8.9,26.4,100,23.3,1435,5436,23.8,1449,5496,0.76,0.8,17.8,15,27,126,100,3,2.4,17,3228,204,1.07,224,1.18,191
20,1167,14.6,866,10.9,128,189,169,50,4.96,62,189,10:00,480,30,5,18,72.5,74.5,176,44.6,8,24.5,115,29.5,1497,6115,29.5,1497,6115,0.28,2.18,17.9,0,32,134,123,7,13.1,22,1760,206,2.58,259,3.24,205
21,1191,13.5,920,10.4,122,178,154,48.7,5.4,61.1,182,12:00,560,42,1,18,70.25,72.75,194.5,59.6,9.4,35.8,100,22,1427,5343,24,1492,5652,0.69,0.99,22.5,46,32,113,123,8,6.2,27,5252,248,1.28,238,1.22,189
22,1143,13.2,859,9.9,118,183,159,55.7,5.46,63,186,11:00,520,60,2,18,72.75,78,190.7,57.4,9.2,22.4,102.5,22.5,1418,5332,25.5,1510,5818,0.36,1.79,19.9,25,40,142,126,8,6.3,29,5530,241,1.26,255,1.34,193
23,1304,14,986,10.6,120,197,178,50.5, , , , , ,28,6,17,74.5,77.5,206.1,46,8.1,32.1,115,28.3,1717,6560,28.3,1717,6560,1.17,0.59,23.1,28,44,140,123,5,3.6,21,4328,252,1.22,278,1.35,211
24,995,12.9,800,10.4,126,187,169,45.3,4.27,56.6,197,10:00,480,42,7,18,70.75,74.5,169.5,54.8,9,28.8,93.5,22.8,1240,4869,23.3,1253,4948,0.61,1.16,24.2,41,38,105,107,1,0.9,21,3560,202,1.19,220,1.3,174
25,1016,14,781,10.8,124,204,184,53.6,3.85,52.9,204,10:00,480,36,4,18,66.25,66.25,160,32.8,6.8,39.2,109.5,27.3,1316,5436,29.8,1367,5824,0.67,1.05,24.2,14,46,114,114,9,8.4,39,6240,267,1.67,211,1.32,197
26,1261,14.4,972,11.1,130,199,186,47.8,4.92,56.2,199,13:00,600,28,3,17,76.5,76.75,192.7,46,8.1,29.6,109,27.8,1592,6199,28.5,1612,6308,0.31,2.04,20.3,27,50,128,145,11,8.6,23,4432,148,0.77,264,1.37,229
27,1073,13.5,833,10.5,126,186,178,58.9,4.85,61.1,186,13:00,600,16,2,18,71.75,74,174.7,51.4,8.6,27.1,104.5,22,1271,4934,22.5,1306,5011,0.39,1.65,20.5,20,43,120,111,3,2.6,28,4892,192,1.1,230,1.32,208
28,965,12.5,772,10,120,179,159,34.8,4.23,54.5,184,10:16,480,5,5,17,73,71.75,170.9,39.6,7.5,34.4,95,21.3,1233,4743,20.8,1219,4658,0.8,0.78,19,25,19,124,125,2,1.8,23,3931,211,1.23,212,1.24,177
29,1402,15.7,963,10.8,124,188,168,57.5,4.77,53.3,188,9:07,440,60,6,18,72.25,75.5,197.3,59.8,9.4,29.9,107.5,23.8,1506,5669,24.8,1133,5826,0.68,0.98,21.2,18,38,127,112,6,4.6,25,4933,235,1.19,297,1.51,181
30, , , , , , , , , , , , , ,70,10,18,73.25,75.75,204.8,67.4,10.2,30.1, , , , , , , ,0.69,0.96,21.2,11, , , , , , , , , , , , 
31,1135,12.7,887,9.9,116,189,177,49.4,4.72,53,192,12:00,560,50,2,17,73,75.5,197,52.8,8.8,32.9,94,21.3,1414,5259,21.3,1414,5259,0.84,0.7,16.6,31,43,122,133,9,6.9,18,3546,279,1.42,281,1.43,215
32,1178,12.8,919,10,116,205,189,54.9,4.44,48.3,205,11:10,520,42,2,18,74.25,75.25,202.4,81.4,11.5,30.1,98,21,1452,5350,21,1452,5350,0.8,0.81,20.3,28,47,123,121,8,5.9,32,6477,296,1.46,277,1.37,206
33,989,13,747,9.8,116,193,172,53.3,3.96,52,194,10:40,480,42,1,18,68,69,167.4,85.6,11.9,27.7,83.5,20,1173,4476,21,1201,4628,0.76,0.78,17.3,12,38,99,100,5,4.5,24,4018,186,1.11,208,1.24,190
34,1168,13.5,884,10.2,119,184,168,47.8,5.4,62.1,197,10:05,480,5,5,18,72.75,73.25,191.4,59.2,9.4,34.4,105.5,23,1439,5431,24.5,1483,5662,0.55,1.14,18.7,0,43,161,145,13,10.2,20,3828,260,1.36,249,1.3,223
35,1024,12.4,809,9.8,112,194,168,49.8,5.17,61.7,194,12:00,560,35,1,17,70,69,182.6,70,10.4,33.6,94,19.5,1265,4610,21,1310,4940,0.62,1.02,19.4,17,38,107,105,6,4.9,26,4748,255,1.4,252,1.38,185
36,1223,13.3,1000,10.8,124,200,186,43.8,6.28,67.9,197,10:00,600,42,1,17,74.5,77,203.5,42.2,7.7,38.1,114,23.5,1545,5759,25.5,1611,6068,0.7,0.95,21.6,23,45,133,130,8,5.9,34,6919,233,1.14,245,1.2,206
37,1217,13.6,874,9.8,115,186,171,56.7,5.3,59,192,12:30,600,90,4,18,74.5,77,197.6,44.8,8,23.7,104.5,24.5,1531,5789,26,1579,6019,0.52,1.27,21,24,30,138,115,12,9.1,25,4940,263,1.33,268,1.36,199
38,978,12.6,751,9.7,112,197,181,50.4,4.89,62.8,201,10:37,480,35,5,17,70.5,72,171.4,84.8,11.9,33.9,98,19.5,1176,4479,21.5,1247,4788,0.47,1.31,18.3,15,43,130,120,5,4.4,17,2914,154,0.9,208,1.21,184
39,784,9.1,645,7.5,113,185,158,39.4,5.61,65.1,187,12:00,560,35,2,18,73.5,76,189.6,40.2,7.5,33.2,111,26.6,1529,5935,27.5,1556,6093,0.77,0.89,23,35,49,141,143,8,6.3,30,5688,230,1.21,222,1.17,216
40,1034,12,829,9.6,117,187,152,41.9,4.34,50.3,187,9:17,440,60,5,18,75.75,76.5,190.1,71,10.5,29.9,98,20,1333,4943,21,1364,5094,0.83,0.77,19.4,25,28,113,121,4,3.2,18,3422,260,1.37,194,1.02,204
41,1299,14.1,994,10.8,124,184,164,51.4,5.19,56.1,189,11:30,520,42,1,18,72.5,75.75,203.5,44.6,8,33.3,106.5,24.5,1577,5899,26.5,1637,6202,0.7,0.95,21.5,11,41,142,142,11,8.1,33,6716,268,1.32,269,1.32,203
42,1137,12.9,903,10.3,119,198,183,37.9,5.15,58.4,202,11:00,520,35,4,18,74.25,75.75,194.3,56.2,9.1,27.5,110,27.8,1602,6224,29.3,1646,6455,0.64,1.03,21.2,22,17,127,119,4,3.1,19,3692,204,1.05,228,1.17,209
43,1161,13,867,9.7,115,170,150,54.2,5.62,62.8,177,14:00,640,56,1,18,74.5,78,196.7,49.6,8.5,32.9,98,21,1411,5230,22.5,1463,5467,0.55,1.12,18.6,18,39,118,125,4,3.1,12,2360,143,0.73,249,1.27,192
44,1342,15.4,976,11.2,126,188,162,59,4.6,52.6,193,9:00,440,45,3,18,72,74.25,192.5,34.4,7,33.1,110,31.5,1693,6765,30.5,1664,6613,0.71,1.05,26.7,20,44,136,92,11,8.6,42,8085,233,1.21,183,0.95,200
45,1360,15,1081,11.9,136,176,162,39.5,4.92,54,176,8:00,400,49,3,18,72.5,77.25,200.2,49.2,8.4,34.4,107,23.3,1512,5649,24.3,1547,5831,0.55,1.16,19.9,19,39,136,96,11,8.2,20,4004,207,1.03,230,1.15,216
46,1007,12.3,778,9.5,114,185,174,49.3,4.34,53,191,10:00,480,56,3,18,69.5,74,180.4,55.6,9,31.5,114,28.8,1516,6091,29.8,1541,6249,0.59,0.99,16.7,23,40,122,114,13,10.8,34,6134,259,1.44,233,1.29,213
47,1194,14.1,894,10.5,120,188,166,57.3,5.23,61.6,188,11:00,520,60,4,18,76.25,77.75,187,40.2,7.5,33.7,114,26,1494,5802,27.5,1538,6038,0.86,0.77,20.9,26,30,146,143,8,6.4,17,3179,177,0.95,283,1.51,209
48,1223,14.5,861,10.2,116,203,190,58.1,4.09,48.3,196,10:00,480,80,2,17,74.25,76.25,186.6,59.2,9.4,34.4,105.5,23.5,1417,5410,25,1460,5641,0.7,0.96,22.1,0,40,114,118,6,4.8,15,2799,180,0.96,237,1.27,194
49,979,11.9,778,9.5,111,173,164,42.9,5.03,61,181,10:00,480,42,4,18,74,77.25,181.5,45.8,8.1,34,101,20.5,1287,4845,21,1302,4930,0.84,0.73,18.3,27,54,126,113,2,1.7,22,3993,181,1,215,1.18,172
50,1384,15.1,947,10.3,118,205,189,57.7,5.05,54.8,205,12:00,560,50,2,18,75.5,76.5,202.6,65,10,36.6,114.5,23.5,1539,5741,26.5,1657,6202,0.76,0.91,23.2,34,42,144,131,8,5.9,27,5470,257.4,1.27,303.8,1.5,247
51,1131,12.6,873,9.7,113,191,169,43.3,4.94,54.8,191,7:00,480,56,1,18,74,76.25,198.4,74.6,10.9,28.1,95,21.5,1440,5345,22,1456,5424,0.89,0.69,18.2,25,38,114,117,4,3,25,4960,255,1.29,264,1.33,189
52,1229,12.9,933,9.8,115,187,164,45.9,5.37,56.2,197,11:00,520,42,4,18,73.25,73.25,210.5,63.4,9.8,42.5,99,26,1681.9,6286.4,28,1743,6596,0.42,1.51,19.9,14,33,162,162,13,9.3,32,6736,366,1.74,306,1.45,210
53,1111,12.5,843,9.5,113,186,176,54.8,4.5,50.5,186,10:00,480,60,2,17,74.25,78,196,52,8.7,34.9,112,23.4,1481,5569,25.3,1541,5872,0.5,1.29,20,38,51,130,139,5,3.8,28,5488,264,1.35,262,1.34,191
54,1115,13,840,9.8,117,200,188,54.1, , , , , ,35,7,18,72.5,73.26,188.8,61,9.6,24.3,108,28.3,1570,6190,28.8,1587,6263,0.77,0.87,21.6,14,26,124,123,6,4.8,23,4342,244,1.29,294,1.56,186
55,971,12.2,787,9.9,116,196,176,41.9,4.69,58.7,196,12:00,560,42,2,18,72.25,75.5,175.6,49.6,8.5,36.8,104,24,1347,5263,26,1403,5566,0.78,0.79,18.5,28,45,129,112,7,6,45,7902,207,1.18,276,1.57,174
56,815,9,496,5.5,104,192,165,52.3,4.65,51.6,192,11:00,520,14,6,18,72.25,73.5,198.9,76.6,11.1,33.8,114,29.3,1865,6532,30.3,1716,6714,0.49,1.47,25,0,35,177,143,8,6,22,4376,294,1.48,241,1.21,224
57,1176,13.6,917,10.6,125,183,169,39.5,4.68,54.2,199,11:00,520,49,2,18,75,78,190.1,40.2,7.5,28.3,115.5,26.5,1533,5944,28.5,1591,6254,0.93,0.74,22.8,48,52,140,123,4,3.2,22,4182,276,1.45,205,1.08,217
58,1092,14.2,812,10.6,125,163,178,44.2,3.98,51.7,189,10:00,480,30,5,18,70.75,69.75,169.6,49.2,8.4,24.2,107,25.5,1263,5371,27,1299,5601,0.65,1.01,21.2,3,36,118,112,2,1.8,18,3053,194,1.14,245,1.44,188
59,1213,13.7,937,10.6,122,178,159,45,5.66,63.6,181,14:00,640,42,4,18,75.25,77.5,195.8,46.6,8.2,31.2,101.5,21.8,1429,5315,24.3,1513,5740,0.7,0.92,19.9,24,41,154,149,10,7.7,23,4503,272,1.39,207,1.06,190
60,1194,15.4,850,11,128,200,187,53.8,4.02,52,200,10:00,480,42,3,18,71.25,72.75,170.7,53.4,8.8,28.9,109,23,1283,5005,25,1335,5350,0.78,0.86,21.9,19,40,109,105,2,1.8,20,3414,248,1.45,223,1.31,196
61,1165,13.9,905,10.8,127,193,183,47.4,4.71,56,195,12:00,560,35,7,18,72.25,74.75,185.2,45.2,8,30.3,104.5,20.8,1321,4958,22.3,1366,5189,0.61,1.05,19.6,20,42,114,114,7,5.7,23,4260,235,1.27,240,1.3,195
62,1075,13.4,860,10.7,124,202,191,47.8,4.28,53.1,202,10:00,480,50,6,18,70.75,72.25,177.3,45.8,8.1,41.3,102,23,1333,5142,25,1387,5451,0.53,1.3,22,46,18,139,116,11,9.3,29,5142,271,1.53,178,1,194
63,1183,13,893,9.8,114,168,159,50.8,4.55,50,186,12:17,560,63,8,18,74.5,77.5,200.2,62.2,9.7,32.7,95,17.3,1303,4726,20.3,1412,5137,0.31,1.91,18.6,35,47,121,120, , ,24,4805,211,1.05,226,1.13,213
64,1071,12.6,847,10,119,196,170,50.1,4.34,51.1,196,11:00,520,40,6,18,72.25,73,186.8,68.8,10.3,29,102.5,26,1493,5797,27,1520,5955,0.64,0.97,18.9,12,35,118,106, , , , , , , , , 
65,1079,13.9,801,10.3,116,179,168,50.1,4.53,58.3,181,9:00,440,42,3,18,72.25,73,171.2,47.6,8.3,32.8,104.5,21.5,1242,4784,25,1339,5324,0.91,0.69,18.9,33,26,125,118,6,5.3,28,4794,226,1.32,250,1.46,193
66,1140,13.5,804,9.5,109,190,178,77.6,4.81,56.9,190,11:00,520,5,5,18,74.25,76.25,186.1,57.6,9.2,33.7,103,23.3,1406,5365,24.8,1449,5595,0.56,1.15,20.4,6,32,141,127,2,1.6,16,2978,212,1.14,214,1.15,189
67,1502,13.8,1130,10.4,120,193,175,51,6.18,56.5,196,12:15,560,90,3,18,78.5,78.25,240.7,43.8,7.9,41.4,109,24,1841,6604,24.5,1859,6664,0.96,0.68,20.4,29,31,145,137,12,7.5,33,7943,312,1.3,272,1.13,217
68,995,12.3,805,9.9,120,183,164,44.6,4.94,60.8,185,12:00,560,49,5,17,71.5,72.75,178.6,52.4,8.7,25.5,96,20.5,1267,4786,21,1282,4859,0.74,0.82,17.7,34,36,100,122,3,2.5,22,3929,197,1.1,236,1.32,192
69,1012,12,789,9.3,108,202,178,49.1,4.66,54.9,202,10:00,480,6,6,18,72.5,76.75,186.6,76.6,11.1,30,99.5,20.3,1320,4909,21.8,1361,5137,0.79,0.8,19.9,23,24,105,100,4,3.2,25,4665,183,0.98,227,1.22,186
70, , , , , , , , , , , , , ,28,1,18,76.75,76.25,183.7,73,10.7,39.2, , , , , , , , , , ,68,42,96,95,0,0,16,2939,190,1.03,231,1.26,200
71,984,12.4,781,9.8,116,184,157,38.4,5.32,66.9,193,11:42,520,5,5,18,72.25,72.25,175.1,69,10.3,32.4,94,21.3,1264,4829,22.3,1295,4987,0.72,0.86,18.3,0,31,106,106, , , , ,180,1.03,223,1.27,169
72,1133,13.8,836,10.2,118,191,177,54.2,4.25,51.6,191,12:00,560,56,5,18,70.25,72.5,181.3,44.8,8,25.5,103.5,25.5,1435,5623,26,1449,5684,0.56,1.22,22.4,16,40,109,113,11,9.1,30,5439,294,1.62,295,1.63,187
73, , , , , , , , , , , , , ,105, ,18,72.25,73,198.2,75,10.9,28.7, , , , , , , , , , , , ,111,110,4,3,24,4757,217,1.09,178,0.9,202
74,1159,13.9,843,10.1,119,187,173,52.7,5.36,64.2,187,10:00,480,42,2,18,70.75,74.5,183.9,63,9.8,28.6,104,22.5,1368,5204,23.5,1397,5356,0.48,1.44,23.3,34,40,112,108,7,5.7,24,4414,198,1.08,221,1.2,211
75,1319,15.9,958,11.6,132,194,175,53.8,3.93,47.3,194,8:15,400,30,3,18,73.25,79,182.8,48.8,8.4,34,119.3,29.8,1561.4,6298,29.8,1561.4,6298,0.84,0.82,22.9,2,36,159,147,8,6.6,18,3290,246,1.35,250,1.37,223
76,1193,13.2,927,10.3,120,186,167,55,4.67,51.7,187,11:31,520,97,1,18,72.25,75.75,198.9,79.4,11.3,28.9,102,21.8,1451,5397,22.8,1487,5549,0.59,1.04,18.3,66,40,125,98,6,4.5,24,4774,184,0.93,231,1.16,193
77,1156,13.5,925,10.8,127,187,163,46.4,5.14,59.8,187,11:00,520,49,1,18,73,75.75,189.2,61.2,9.6,26.2,95,18.8,1283,4730,19,1298,4809,0.71,0.83,16.8,48,27,117,125,8,6.3,28,5298,205,1.08,274,1.45,179
78,1191,15.9,852,11.4,128,200,178,54.9,4.13,55.2,200,9:22,440,12,20,18,70.75,77,164.8,43.8,7.9,29.6,104.5,25,1289,5223,26.5,1326,5405,0.59,1.17,22.6,5,27,118,108, , , , , , , , , 
79,948,13.4,744,10.5,124,208,196,49.4,4.27,60,213,9:45,440,56,5,17,71.25,72.75,156.4,46.6,8.2,31.8,102,23.5,1188,4790,23.5,1188,4790,0.62,1.01,20.1,3,39,105,100,4,3.8,22,3441,172,1.1,210,1.34,182
80,1247,15.3,893,11,125,192,72,60.5,4.1,50.3,192,11:25,440,28,2,18,70.25,73,179.5,62.2,9.7,28,107.5,24.3,1384,5381,24.8,1397,5460,0.51,1.4,24.4,31,47,131,121, , ,31,5565,247,1.38,186,1.04,200
81,1429,15.1,1020,10.8,122,185,167,52.6,5.42,57,188,11:45,520,28,4,17,75,78.5,209.2,52.2,8.7,27.2,106,24,1605,5956,24.5,1621,6029,0.68,0.96,20.7,0,36,144,134,11,7.9,34,7113,302,1.44,285,1.36,212
82,1105,13.1,855,10.2,118,191,161,47.6,5.32,63.1,193,10:25,480,42,4,18,71.25,74,185.5,57.8,9.3,33.1,99.5,21.8,1353,5114,23.8,1416,5424,0.75,0.86,20.2,12,43,122,116,8,6.5,26,4823,184,0.99,224,1.21,183
83,1153,14.8,873,11.2,129,193,174,55.4,4,51.3,193,9:00,440,42,1,18,72.25,73.75,171.4,39.8,7.5,33.1,107,22,1258,4867,22.5,1275,4946,0.32,1.85,16.7,66,41,86,88,2,1.8,28,4799,214,1.25,240,1.4,185
84,1179,12.8,959,10.4,126,195,182,44.4,4.61,50.1,195,13:00,600,42,5,18,73.25,74.25,202.6,62.6,9.7,30.7,105,25.5,1604,6051,27.5,1663,6366,0.59,1.07,19.2,0,41,113,107,6,4.4,16,3242,204,1.01,243,1.2,190
85,1189,13.3,952,10.7,126,191,179,39.2,5.76,64.5,198,12:00,560,30,7,18,70.75,75.25,196.5,62,9.7,25,110,21,1410,5226,23,1477,5535,0.44,1.53,21.7,70,52,137,128,5,3.8,22,4323,210,1.07,255,1.3,212
86,1060,13.9,798,10.5,127,191,168,53.8,4.38,57.5,193,10:00,480,42,4,18,72.5,74.5,167.6,60,9.5,27.4,101.5,20.3,1181.8,4517,22.3,1237,4826,0.8,0.82,20.7,51,31,121,94,4,3.6,33,5531,197,1.18,241,1.44,178
87,1212,14.5,928,11.1,125,187,176,45.2,4.8,57.3,187,12:00,560,35,2,18,73.75,74.75,184.1,52,8.7,32.9,108,27.8,1514,6046,28.8,1547,6168,0.65,1.05,22.2,35,40,120,128,6,4.9,22,4050,205,1.11,262,1.42,218
88,1155,13.2,929,10.6,124,197,172,44.8,4.44,50.7,197,9:00,440,42,7,18,74.75,76.5,192.7,49.6,8.5,33.3,105.5,19,1314,4845,19,1314,4845,0.69,0.94,20.5,18,39,116,118,9,7,26,5010,219.6,1.14,222.3,1.15,199
89,1065,12.7,812,9.7,114,199,181,45.5,4.42,52.7,199,11:00,520,40,3,18,71.75,72.5,184.4,46,8.1,35.4,99,23,1386,5286,27.5,1514,5984,0.6,1.09,21.2,28,43,126,136,9,7.3,34,6270,286.2,1.55,294.7,1.6,201
90,1348,15.2,981,11,129,178,172,55.8,4.67,52.4,178,12:00,560,42,5,17,74.75,75.75,196,36,7.1,41.7,105.5,23.8,1496,5641,25.3,1541,5872,0.74,0.92,22.5,8,19,153,151,5,3.8,27,5292,237,1.21,275,1.4,211
91,1148,13.7,875,10.5,123,190,175,53.4,5,59.5,190,10:23,480,70,4,18,74.75,76.75,184.6,72.4,10.7,35.3,104,25.3,1451,5649,26.8,1485,5879,0.42,1.53,19.7,48,38,123,116,5,4.1,25,4615,235,1.27,229,1.24,187
92,1133,14.1,870,10.8,124,192,176,40.4,4.78,59.3,198,11:00,520,30,7,17,72.25,74.25,177,52.6,8.7,27.2,106,22,1300,4985,25.5,1402,5525,0.75,0.85,19.9,26,39,109,104,7,5.9,20,3540,142,0.8,197,1.11,197
93,1109,13.8,856,10.7,125,201,185,50.2,4.12,51.3,201,9:25,440,56,4,18,70.25,71,176.7,55.4,9,31.7,109.5,25.3,1389,5486,26.3,1418,5637,0.5,1.36,22.3,20,45,127,133,4,3.4,26,4594,268,1.52,235,1.33,204
94,1195,13.5,948,10.7,125,192,179,42.7,4.51,50.7,193,12:00,560,42,4,18,72.5,72.25,195.8,43.6,7.9,34.5,107,28.5,1638,6371,29,1652,6450,0.69,0.99,22.6,28,45,123,116,9,6.9,26,5091,296,1.51,248,1.27,197
95,895,12.9,715,10.3,121,175,163,40.5,4.73,67.9,182,11:00,520,5,5,18,71.5,70.25,153.3,32.8,6.8,30.4,98,22,1125,4496,24,1176,4805,0.88,0.73,20.2,0,29,89,84,0,0,17,2606,202,1.32,230,1.5,161
96,1034,12.8,817,10.1,121,200,187,49.3,3.64,45,200,8:00,400,28,1,17,69.75,73,178,62.4,9.7,28.4,110,28.3,1480,5968,30.3,1533,6272,0.78,0.88,22.7,2,47,144,135,8,6.7,21,3738,198,1.11,252,1.42,209
97,1142,13.4,879,10.3,121,190,159,48.5,5.24,61.4,194,11:00,520,12,1,18,73,75.25,187.9,48.4,8.3,29,95.5,23.8,1434,5474,23.8,1434,5474,0.89,0.71,19.5,15,34,138,136,5,4,20,3758,210,1.12,257,1.37,156
98, , , , , , , , , , , , , ,42, ,18,73,76.25,196,50.4,8.5,34.6, , , , , , , , , , ,23,36,117,132, , , , , , , , , 
