ID,PosNumeric,Position,WingatePeak_Watts,PeakWingate_W_kg,WingateMean_Watts,WingateMean_Watts_kg,WingateRPM,WingateHR_End,WingateHR_1minPost,WingatePercentDrop,VO2max_l_min,VO2max_ml_kg_min,VO2max_PeakHR,VO2max_Duration,VO2max_watts,DaysSinceLastGame,DaysSinceLastWorkout,Age,Height_in,WingSpan_in,Weight_lb, Skinfold_sum_6_mm,Yuhasz%BodyFat,HandEyeCoordination,StandingLongJump_in,VertekVerticalJump_Pause_in,LewisAvg_ Pause_watts,SayersPeak_Pause_watts,VertekVerticalJump_NoPause_in,LewisAvg_ NoPause_watts,SayersPeak_NoPause_watts,Jump4ModeGroundTime_sec,Jump4ModeGroundPowerFactor,Jump4ModeGroundHeight_in,Curlups_max,SitReach,RightHandGrip_lb,LeftHandGrip_lb,BenchPress_reps150,BenchPress_lbperlbBodyWeight,PushUps_max,PushUpsxBody Weight,Push Strength (lb),PushStrength_lbperlbBodyWeight,PullStrength_lb,PullStrength_lbperlbBodyWeight,UpperBodyPowerkgBall_in
29,1,Forward,1137,12.9,903,10.25,119,198,183,37.86,5.15,58.41,202,11:00,520,35,4,18,74.25,75.75,194.3,56.2,9.09,27.5,110,27.75,1602,6224,29.25,1646,6455,0.64,1.03,21.2,22,17.4,127,119,4,3.09,19,3691.7,204,1.05,228,1.17,209
30,1,Forward,1342,15.37,976,11.18,126,188,162,59,4.6,52.6,193,9:00,440,45,3,18,72,74.25,192.5,34.4,6.98,33.1,110,31.5,1693,6765,30.5,1664,6613,0.71,1.05,26.7,20,43.5,136,92,11,8.57,42,8085,233,1.21,183,0.95,200
31,1,Forward,1360,14.98,1081,11.9,136,176,162,39.5,4.92,54,176,8:00,400,49,3,18,72.5,77.25,200.2,49.2,8.41,34.4,107,23.3,1512,5649,24.3,1547,5831,0.55,1.16,19.9,19,39.1,136,96,11,8.24,20,4004,207,1.03,230,1.15,216
32,1,Forward,1007,12.31,778,9.51,114,185,174,49.3,4.34,53,191,10:00,480,56,3,18,69.5,74,180.4,55.6,9.03,31.5,114,28.75,1516,6091,29.75,1541,6249,0.59,0.99,16.7,23,40,122,114,13,10.81,34,6133.6,259,1.44,233,1.29,213
33,1,Forward,1194,14.08,894,10.54,120,188,166,57.3,5.23,61.6,188,11:00,520,60,4,18,76.25,77.75,187,40.2,7.54,33.7,114,26,1494,5802,27.5,1538,6038,0.86,0.77,20.9,26,29.5,146,143,8,6.42,17,3179,177,0.95,283,1.51,209
34,1,Forward,1223,14.45,861,10.17,116,203,190,58.1,4.09,48.26,196,10:00,480,80,2,17,74.25,76.25,186.6,59.2,9.38,34.4,105.5,23.5,1417,5410,25,1460,5641,0.7,0.96,22.1,0,40,114,118,6,4.82,15,2799,180,0.96,237,1.27,194
35,1,Forward,1229,12.87,933,9.77,115,187,164,45.9,5.37,56.2,197,11:00,520,42,4,18,73.25,73.25,210.5,63.4,9.79,42.5,99,26,1681.9,6286.4,28,1743,6596,0.42,1.51,19.9,14,33.3,162,162,13,9.26,32,6736,366,1.74,306,1.45,210
36,1,Forward,1115,13.02,840,9.81,117,200,188,54.1, , , , , ,35,7,18,72.5,73.26,188.8,61,9.56,24.3,108,28.25,1570,6190,28.75,1587,6263,0.77,0.87,21.6,14,25.7,124,123,6,4.77,23,4342.4,244,1.29,294,1.56,186
37,1,Forward,1194,15.42,850,10.98,128,200,187,53.8,4.02,52,200,10:00,480,42,3,18,71.25,72.75,170.7,53.4,8.82,28.9,109,23,1283,5005,25,1335,5350,0.78,0.86,21.9,19,40.4,109,105,2,1.76,20,3414,248,1.45,223,1.31,196
38,1,Forward,1165,13.87,905,10.77,127,193,183,47.4,4.71,56,195,12:00,560,35,7,18,72.25,74.75,185.2,45.2,8.02,30.3,104.5,20.75,1321,4958,22.25,1366,5189,0.61,1.05,19.6,20,42,114,114,7,5.67,23,4259.6,235,1.27,240,1.3,195
