TIME ,VO2   ,VO2/kg  ,WorkR ,VCO2  ,VE     ,RER  ,HR  ,Vt    ,RR  ,TE    ,TI    ,VE/   ,VE/   ,FECO2 ,FEO2  
9.666664124,3.328961372,37.55751419,276.2286377,3.715548515,106.520752,1.116128445,167,2.495629072,42.68292618,0.817142844,1.397542834,31.99819374,28.6689167,4.307852268,17.02305222
9.834331512,3.502483368,39.51519775,281.2177124,3.914697886,111.650589,1.117692113,169,2.340010166,47.71371841,0.71875,1.250312448,31.87755013,28.52087021,4.330003738,17.00697327
10.01399803,3.586679459,40.46510315,286.513916,4.121325016,124.0372925,1.149064183,171,2.476151705,50.09276581,0.727777779,1.190500021,34.58276367,30.09646034,4.10537672,17.29138374
10.17649746,3.190168142,35.991642,291.5384827,3.740992069,114.1147003,1.172662973,173,2.317955017,49.2307663,0.778750062,1.210962534,35.77074814,30.50386047,4.05105257,17.39565468
10.34199715,3.924797773,44.2797699,296.4420776,4.431484222,132.4303284,1.129098773,173,2.435246468,54.38066483,0.680000007,1.096533298,33.74195099,29.88396645,4.134309292,17.21562767
10.50816345,3.725331068,42.02937698,301.5627136,4.401321888,141.9481964,1.181457877,174,2.358705759,60.18054199,0.638999939,0.990610003,38.10351181,32.25126266,3.833720446,17.60673523
10.67432976,3.784834623,42.70069885,306.4342957,4.531816006,150.8923492,1.197361708,177,2.279388905,66.19860077,0.630000055,0.900063574,39.86761856,33.29622269,3.71464324,17.7440052
10.84616375,3.81295228,43.01792526,311.5218506,4.56147337,158.146347,1.196310163,179,2.264567852,69.83511353,0.583333433,0.853333294,41.47608948,34.67001343,3.569037199,17.86860085
11.00582981,3.817613125,43.07050705,316.5866394,4.495131016,150.79216,1.177471638,180.5,2.407648325,62.63047791,0.670000017,0.951299965,39.49906921,33.54566574,3.687339544,17.72708702
11.16766357,3.961472988,44.69354248,321.3336487,4.701496601,157.2540741,1.186805129,182,2.544895411,61.79196167,0.68599993,0.964139938,39.695858,33.44766235,3.698016167,17.73698807
11.34649849,4.004183292,45.17540359,326.506958,4.701113701,156.0890808,1.17405057,182,2.53763032,61.50978088,0.646363616,0.968990922,38.98150253,33.20257568,3.725031614,17.68667793
11.50299931,3.944625854,44.50347137,331.6358337,4.614919662,155.5828552,1.169925809,183,2.434871435,63.89776993,0.602000058,0.932979941,39.44172668,33.71301651,3.669242144,17.72731972
11.67749977,4.064637184,45.85744858,336.5519714,4.632983685,152.9931946,1.139827132,183,2.427028656,63.03724289,0.588181794,0.945936382,37.64006042,33.0226059,3.745152712,17.59403038
11.84749889,3.989082098,45.00503159,341.514679,4.493191242,145.495163,1.126372218,183,2.473417997,58.82352448,0.65200001,1.013479948,36.4733429,32.38125229,3.818553925,17.49645424
12.00499916,4.163416862,46.97188568,346.604248,4.727693558,154.9957428,1.135532141,183,2.441182852,63.49206543,0.585000038,0.939149976,37.2280159,32.78464127,3.772051096,17.55995369
12.17399883,3.969642162,44.78570938,286.5710144,4.527909756,152.0744019,1.140634179,183,2.336415768,65.08876038,0.623636365,0.915581763,38.30934906,33.58600616,3.682998657,17.65194702
12.34066582,3.945942163,44.51832199,30,4.493470669,143.0424194,1.138757348,182,2.167309523,65.99999237,0.609999955,0.902990937,36.25051117,31.8333931,3.883568764,17.46652985
12.50616455,3.421436548,38.60082245,30,4.226018906,155.2939911,1.235159278,179,2.336468697,66.46525574,0.562727213,0.897100031,45.38853455,36.74711227,3.369526386,18.11141777
12.68200016,2.912355423,32.85734558,29.99999809,3.931365967,149.8657684,1.349892259,176,2.395581722,62.55923843,0.604545474,0.953045428,51.45861053,38.12053299,3.249480486,18.3879509
12.84783268,2.564116955,28.92849922,30.00000191,3.562994957,139.3097992,1.389560223,171.5,2.310220718,60.30150986,0.648999989,0.988510013,54.33051682,39.0990715,3.169129848,18.50414658
13.00600052,2.213404417,24.97174263,29.99999809,3.119915724,126.7183914,1.409555197,167,2.226958275,56.90200424,0.639999986,1.048044562,57.25044632,40.6159668,3.052253246,18.61943436
13.17299843,2.084192038,23.51396179,30.00000191,2.909318447,118.1854095,1.395897508,162,2.192996025,53.89221573,0.689999938,1.106433272,56.70562363,40.62305832,3.051735878,18.60331154
13.34466457,2.02292037,22.82269287,30,2.776939869,117.6288681,1.372738123,159,1.835723162,64.07767487,0.567272723,0.930690944,58.1480484,42.35916901,2.928312302,18.67147636
13.50249863,1.700791597,19.18841934,29.99999619,2.350294828,103.5451126,1.381882906,156,1.634287119,63.35797119,0.601999938,0.940980077,60.88054276,44.05622101,2.81704855,18.76944733
13.67399883,1.698007464,19.15700722,30,2.236083746,93.93621063,1.316886902,151.5,1.611005902,58.30904007,0.648000002,1.022519946,55.32143402,42.00925446,2.952406406,18.58143616
13.83549786,1.146296024,12.93257141,30,1.43780303,59.48401642,1.254303455,146,1.37238133,43.34365082,0.905714214,1.375228643,51.89236832,41.37146378,2.997349501,18.45648384
